expression	source_image	source_page	column	ocr_confidence	waller_seed_match	review_status
じょうず	IMG_2698.HEIC	123	4	0.30	yes	needs_review
じょうぶ（な）	IMG_2698.HEIC	123	4	0.30	yes	needs_review
じんじゃ	IMG_2698.HEIC	123	4	0.30	no	needs_review
すいえい	IMG_2698.HEIC	123	4	1.00	no	needs_review
すいます	IMG_2698.HEIC	123	4	0.50	yes	needs_review
すき（な）	IMG_2698.HEIC	123	4	0.30	yes	needs_review
すくない	IMG_2698.HEIC	123	4	0.50	yes	needs_review
すぐに	IMG_2698.HEIC	123	4	0.30	yes	needs_review
すこし	IMG_2698.HEIC	123	4	1.00	yes	needs_review
すごく	IMG_2698.HEIC	123	4	1.00	no	needs_review
すずしい	IMG_2698.HEIC	123	5	1.00	yes	needs_review
すっぱい	IMG_2698.HEIC	123	5	1.00	no	needs_review
すてます	IMG_2698.HEIC	123	5	0.50	no	needs_review
すみます［住みます］	IMG_2698.HEIC	123	5	0.30	yes	needs_review
すみません	IMG_2698.HEIC	123	5	0.30	yes	needs_review
すもう	IMG_2698.HEIC	123	5	0.30	no	needs_review
せ	IMG_2698.HEIC	123	5	0.50	yes	needs_review
せいと	IMG_2698.HEIC	123	5	0.30	yes	needs_review
せかい	IMG_2698.HEIC	123	5	0.30	no	needs_review
せき	IMG_2698.HEIC	123	5	0.30	no	needs_review
せっけん	IMG_2698.HEIC	123	5	1.00	yes	needs_review
せまい	IMG_2698.HEIC	123	5	0.30	yes	needs_review
せんげつ	IMG_2698.HEIC	123	5	1.00	yes	needs_review
せんしゅう	IMG_2698.HEIC	123	5	0.50	yes	needs_review
せんせい	IMG_2698.HEIC	123	5	0.30	yes	needs_review
せんたく（します）	IMG_2698.HEIC	123	5	0.50	yes	needs_review
ぜんぶぶ	IMG_2698.HEIC	123	5	0.30	no	needs_review
そうじ（します）	IMG_2698.HEIC	123	5	0.50	yes	needs_review
そうです	IMG_2698.HEIC	123	5	0.30	no	needs_review
そくたつ	IMG_2698.HEIC	123	5	0.30	no	needs_review
そこ	IMG_2698.HEIC	123	5	0.30	yes	needs_review
そして	IMG_2698.HEIC	123	5	0.50	yes	needs_review
そちら	IMG_2698.HEIC	123	5	0.30	yes	needs_review
そっち	IMG_2698.HEIC	123	5	1.00	yes	needs_review
そつぎょう（します）	IMG_2698.HEIC	123	5	0.30	no	needs_review
そと	IMG_2698.HEIC	123	5	0.30	yes	needs_review
その	IMG_2698.HEIC	123	5	0.30	yes	needs_review
そのかた	IMG_2698.HEIC	123	5	0.50	no	needs_review
そば	IMG_2698.HEIC	123	5	0.30	yes	needs_review
そら	IMG_2698.HEIC	123	5	0.30	yes	needs_review
それ	IMG_2698.HEIC	123	6	0.30	yes	needs_review
それから	IMG_2698.HEIC	123	6	0.30	yes	needs_review
たいしかん	IMG_2698.HEIC	123	6	0.30	yes	needs_review
たいせつ（な）	IMG_2698.HEIC	123	6	0.50	yes	needs_review
たいてい	IMG_2698.HEIC	123	6	0.50	no	needs_review
たいへん	IMG_2698.HEIC	123	6	1.00	yes	needs_review
たいわん	IMG_2698.HEIC	123	6	1.00	no	needs_review
たかい	IMG_2698.HEIC	123	6	0.30	yes	needs_review
たくさん	IMG_2698.HEIC	123	6	0.50	yes	needs_review
たちます	IMG_2698.HEIC	123	6	0.30	yes	needs_review
たっきゅう	IMG_2698.HEIC	123	6	0.50	no	needs_review
たてもの	IMG_2698.HEIC	123	6	1.00	yes	needs_review
たのしい	IMG_2698.HEIC	123	6	1.00	yes	needs_review
たべます	IMG_2698.HEIC	123	6	1.00	yes	needs_review
たべもの	IMG_2698.HEIC	123	6	1.00	yes	needs_review
たまご….	IMG_2698.HEIC	123	6	0.30	yes	needs_review
たんじょうび	IMG_2698.HEIC	123	6	1.00	yes	needs_review
だいがく	IMG_2698.HEIC	123	6	1.00	yes	needs_review
だいがくせ	IMG_2698.HEIC	123	6	0.50	no	needs_review
だいじょうぶ	IMG_2698.HEIC	123	6	1.00	yes	needs_review
だいたい	IMG_2698.HEIC	123	6	0.30	no	needs_review
だいどころ	IMG_2698.HEIC	123	6	1.00	yes	needs_review
だします	IMG_2698.HEIC	123	6	1.00	yes	needs_review
だち	IMG_2699.HEIC	125	6	0.50	yes	needs_review
だれ	IMG_2698.HEIC	123	6	0.30	yes	needs_review
だんだん	IMG_2698.HEIC	123	6	1.00	yes	needs_review
ちいさい	IMG_2698.HEIC	123	6	1.00	yes	needs_review
ちかい	IMG_2698.HEIC	123	6	0.50	yes	needs_review
ちかく	IMG_2698.HEIC	123	6	1.00	yes	needs_review
ちかてつ	IMG_2698.HEIC	123	6	1.00	yes	needs_review
ちず	IMG_2698.HEIC	123	6	0.30	yes	needs_review
ちち	IMG_2698.HEIC	123	6	0.30	no	needs_review
ちゃいろい	IMG_2698.HEIC	123	6	1.00	no	needs_review
ちゅうがっこう	IMG_2698.HEIC	123	6	0.50	yes	needs_review
ちゅうごくご	IMG_2698.HEIC	123	6	0.30	no	needs_review
ちゅうもん（します）	IMG_2699.HEIC	124	1	0.50	yes	needs_review
ちょうど	IMG_2699.HEIC	124	1	1.00	yes	needs_review
ちょっと	IMG_2699.HEIC	124	1	1.00	yes	needs_review
ついています	IMG_2699.HEIC	124	1	0.50	no	needs_review
つかれます	IMG_2699.HEIC	124	1	1.00	yes	needs_review
つきます	IMG_2699.HEIC	124	1	1.00	yes	needs_review
つくえ	IMG_2699.HEIC	124	1	1.00	yes	needs_review
つくります	IMG_2699.HEIC	124	1	0.30	yes	needs_review
つけます［エアコンを～］	IMG_2699.HEIC	124	1	0.30	yes	needs_review
つすぐ	IMG_2699.HEIC	125	6	0.30	no	needs_review
つたえます	IMG_2699.HEIC	124	1	0.30	no	needs_review
つとめます	IMG_2699.HEIC	124	1	0.50	yes	needs_review
つまらない	IMG_2699.HEIC	124	1	1.00	yes	needs_review
つめたい	IMG_2699.HEIC	124	1	0.50	yes	needs_review
つよい	IMG_2699.HEIC	124	1	1.00	yes	needs_review
つります	IMG_2697.HEIC	120	3	0.30	no	needs_review
て	IMG_2699.HEIC	124	1	1.00	yes	needs_review
てがみ	IMG_2699.HEIC	124	1	0.30	yes	needs_review
てちょう	IMG_2699.HEIC	124	1	1.00	no	needs_review
てら	IMG_2699.HEIC	124	1	1.00	no	needs_review
てんいん	IMG_2699.HEIC	124	1	1.00	no	needs_review
てんき	IMG_2699.HEIC	124	1	0.50	yes	needs_review
てんちょう	IMG_2699.HEIC	124	1	1.00	no	needs_review
てんぷら	IMG_2699.HEIC	124	1	0.30	no	needs_review
でかけます	IMG_2699.HEIC	124	1	1.00	yes	needs_review
できます	IMG_2699.HEIC	124	1	0.50	yes	needs_review
でぐち	IMG_2699.HEIC	124	1	1.00	yes	needs_review
では、また	IMG_2699.HEIC	124	1	1.00	yes	needs_review
でます	IMG_2699.HEIC	124	1	0.50	yes	needs_review
でも	IMG_2699.HEIC	124	1	1.00	yes	needs_review
でんき	IMG_2699.HEIC	124	1	1.00	yes	needs_review
でんごん	IMG_2699.HEIC	124	1	1.00	no	needs_review
でんしゃ	IMG_2699.HEIC	124	1	1.00	yes	needs_review
でんわ（します）	IMG_2699.HEIC	124	1	0.50	yes	needs_review
とおい	IMG_2699.HEIC	124	2	0.30	yes	needs_review
とおります	IMG_2699.HEIC	124	2	1.00	no	needs_review
ときどき	IMG_2699.HEIC	124	2	1.00	yes	needs_review
とけい	IMG_2699.HEIC	124	2	1.00	yes	needs_review
ところ	IMG_2699.HEIC	124	2	1.00	yes	needs_review
としょかん	IMG_2699.HEIC	124	2	1.00	yes	needs_review
とっきゅう	IMG_2699.HEIC	124	2	0.30	no	needs_review
とても	IMG_2699.HEIC	124	2	1.00	yes	needs_review
となり	IMG_2699.HEIC	124	2	0.30	yes	needs_review
とびます	IMG_2699.HEIC	124	2	0.50	yes	needs_review
とまります	IMG_2699.HEIC	124	2	1.00	yes	needs_review
ともだち	IMG_2699.HEIC	124	2	1.00	yes	needs_review
とり	IMG_2699.HEIC	124	2	0.30	yes	needs_review
とりにく	IMG_2699.HEIC	124	2	1.00	yes	needs_review
とります［ちゅうもんを～］	IMG_2699.HEIC	124	2	0.30	yes	needs_review
とる［ぼうしを～］	IMG_2699.HEIC	124	2	0.30	yes	needs_review
と［戸］	IMG_2699.HEIC	124	2	0.30	yes	needs_review
どう	IMG_2699.HEIC	124	2	1.00	yes	needs_review
どういたしまして	IMG_2699.HEIC	124	2	1.00	no	needs_review
どうして	IMG_2699.HEIC	124	2	1.00	yes	needs_review
どうしましたか	IMG_2699.HEIC	124	2	1.00	no	needs_review
どうぞ	IMG_2699.HEIC	124	2	0.30	yes	needs_review
どうぞよろしく	IMG_2699.HEIC	124	2	1.00	no	needs_review
どうぶつ	IMG_2699.HEIC	124	2	0.30	yes	needs_review
どうもありがとうございます	IMG_2699.HEIC	124	2	0.50	no	needs_review
どうやって	IMG_2699.HEIC	124	2	0.50	no	needs_review
どこ	IMG_2699.HEIC	124	2	1.00	yes	needs_review
どっち	IMG_2699.HEIC	124	2	1.00	yes	needs_review
どなた	IMG_2699.HEIC	124	2	1.00	yes	needs_review
どの	IMG_2699.HEIC	124	2	1.00	yes	needs_review
どのくらい	IMG_2699.HEIC	124	2	1.00	yes	needs_review
どれ	IMG_2699.HEIC	124	2	0.30	yes	needs_review
どんな	IMG_2699.HEIC	124	2	0.30	no	needs_review
な）	IMG_2699.HEIC	124	3	0.30	no	needs_review
にく	IMG_2699.HEIC	124	3	0.30	yes	needs_review
にくや	IMG_2699.HEIC	124	3	1.00	yes	needs_review
にし	IMG_2699.HEIC	124	3	1.00	yes	needs_review
にほん	IMG_2699.HEIC	124	3	0.30	no	needs_review
にほんご	IMG_2699.HEIC	124	3	0.30	no	needs_review
にほんじん	IMG_2699.HEIC	124	3	1.00	no	needs_review
にもつ	IMG_2699.HEIC	124	3	0.30	yes	needs_review
にゅうがく（します）	IMG_2699.HEIC	124	3	0.50	no	needs_review
にわ	IMG_2699.HEIC	124	3	1.00	yes	needs_review
ぬぎます	IMG_2699.HEIC	124	3	0.30	yes	needs_review
ねこ	IMG_2699.HEIC	124	3	0.30	yes	needs_review
ねだん	IMG_2699.HEIC	124	3	0.30	no	needs_review
ねつ	IMG_2699.HEIC	124	3	0.30	no	needs_review
ねます	IMG_2699.HEIC	124	3	0.30	no	needs_review
のど	IMG_2699.HEIC	125	4	0.30	no	needs_review
のぼります	IMG_2699.HEIC	125	4	1.00	yes	needs_review
のみます	IMG_2699.HEIC	125	4	1.00	no	needs_review
のみもの	IMG_2699.HEIC	125	4	1.00	yes	needs_review
のりば	IMG_2699.HEIC	125	4	0.30	no	needs_review
のります	IMG_2699.HEIC	125	4	0.30	yes	needs_review
のる	IMG_2699.HEIC	125	4	1.00	yes	needs_review
はい	IMG_2699.HEIC	125	4	0.30	yes	needs_review
はいります	IMG_2699.HEIC	125	4	0.30	yes	needs_review
はがき	IMG_2699.HEIC	125	4	1.00	yes	needs_review
はく	IMG_2699.HEIC	125	4	0.30	yes	needs_review
はこ	IMG_2699.HEIC	125	4	0.50	yes	needs_review
はし	IMG_2699.HEIC	125	4	0.30	yes	needs_review
はじまります	IMG_2699.HEIC	125	4	0.50	yes	needs_review
はじめて	IMG_2699.HEIC	125	4	0.30	yes	needs_review
はじめまして	IMG_2699.HEIC	125	4	1.00	no	needs_review
はじめます［始めます］	IMG_2699.HEIC	125	4	0.30	no	needs_review
はじめ［初め］	IMG_2699.HEIC	125	4	0.30	yes	needs_review
